iter	Passed	Remaining
416	2930	4097
417	2937	4089
418	2944	4082
419	2951	4075
420	2958	4068
421	2965	4061
422	2972	4054
423	2979	4047
424	2986	4040
425	2993	4033
426	3000	4026
427	3007	4019
428	3014	4012
429	3021	4004
430	3028	3997
431	3035	3990
432	3041	3982
433	3047	3974
434	3054	3966
435	3061	3959
436	3068	3953
437	3075	3946
438	3082	3939
439	3089	3932
440	3097	3925
441	3104	3919
442	3111	3911
443	3117	3904
444	3124	3897
445	3131	3890
446	3138	3882
447	3145	3875
448	3151	3868
449	3158	3860
450	3165	3853
451	3172	3846
452	3179	3838
453	3186	3831
454	3191	3823
455	3199	3816
456	3205	3809
457	3212	3802
458	3219	3794
459	3226	3787
460	3233	3780
461	3240	3773
462	3246	3765
463	3253	3757
464	3259	3750
465	3266	3743
466	3273	3736
467	3280	3729
468	3287	3722
469	3294	3714
470	3301	3707
471	3308	3700
472	3314	3693
473	3321	3686
474	3328	3679
475	3335	3672
476	3342	3665
477	3349	3657
478	3356	3650
479	3363	3643
480	3370	3636
481	3377	3629
482	3384	3622
483	3391	3615
484	3399	3609
485	3407	3603
486	3413	3596
487	3420	3589
488	3427	3582
489	3434	3575
490	3441	3567
491	3448	3560
492	3454	3552
493	3461	3545
494	3468	3538
495	3474	3530
496	3481	3523
497	3487	3515
498	3494	3508
499	3501	3501
500	3508	3494
501	3515	3487
502	3522	3480
503	3529	3473
504	3535	3465
505	3542	3458
506	3549	3451
507	3556	3444
508	3563	3437
509	3571	3431
510	3578	3424
511	3585	3416
512	3591	3409
513	3598	3402
514	3605	3395
515	3612	3388
516	3619	3381
517	3626	3374
518	3633	3367
519	3640	3360
520	3647	3353
521	3654	3346
522	3661	3339
523	3668	3332
524	3675	3325
525	3682	3318
526	3689	3311
527	3696	3304
528	3703	3297
529	3709	3289
530	3717	3283
531	3724	3276
532	3731	3269
533	3738	3262
534	3744	3254
535	3751	3247
536	3758	3240
537	3765	3233
538	3771	3226
539	3778	3218
540	3785	3211
541	3792	3204
542	3798	3196
543	3804	3189
544	3811	3182
545	3818	3175
546	3825	3167
547	3832	3160
548	3839	3153
549	3845	3146
550	3852	3139
551	3859	3132
552	3866	3125
553	3873	3118
554	3880	3111
555	3886	3103
556	3893	3096
557	3901	3090
558	3907	3083
559	3914	3075
560	3920	3068
561	3927	3061
562	3934	3054
563	3941	3046
564	3948	3039
565	3955	3032
566	3962	3025
567	3969	3018
568	3975	3011
569	3982	3004
570	3989	2997
571	3996	2990
572	4003	2983
573	4010	2976
574	4017	2969
575	4024	2962
576	4031	2955
577	4038	2948
578	4045	2941
579	4052	2934
580	4059	2927
581	4066	2920
582	4073	2913
583	4081	2907
584	4088	2900
585	4095	2893
586	4102	2886
587	4108	2879
588	4116	2872
589	4122	2864
590	4129	2858
591	4136	2850
592	4143	2843
593	4150	2836
594	4157	2829
595	4164	2822
596	4171	2815
597	4177	2808
598	4184	2801
599	4191	2794
600	4198	2787
601	4205	2780
602	4212	2773
603	4219	2766
604	4227	2759
605	4233	2752
606	4240	2745
607	4247	2738
608	4254	2731
609	4261	2724
610	4268	2717
611	4275	2710
612	4280	2702
613	4287	2695
614	4294	2688
615	4301	2681
616	4308	2674
617	4315	2667
618	4322	2660
619	4328	2653
620	4335	2646
621	4342	2639
622	4349	2632
623	4356	2625
624	4363	2617
625	4370	2611
626	4377	2604
627	4384	2597
628	4391	2589
629	4397	2582
630	4404	2575
631	4411	2568
632	4418	2561
633	4425	2554
634	4432	2547
635	4439	2540
636	4446	2533
637	4453	2526
638	4460	2519
639	4466	2512
640	4473	2505
641	4480	2498
642	4487	2491
643	4494	2484
644	4500	2477
645	4507	2470
646	4515	2463
647	4522	2456
648	4529	2449
649	4536	2442
650	4543	2435
651	4549	2428
652	4556	2421
653	4563	2414
654	4570	2407
655	4577	2400
656	4583	2393
657	4590	2385
658	4597	2378
659	4603	2371
660	4610	2364
661	4617	2357
662	4625	2350
663	4632	2344
664	4639	2337
665	4646	2330
666	4653	2323
667	4660	2316
668	4667	2309
669	4674	2302
670	4681	2295
671	4688	2288
672	4695	2281
673	4702	2274
674	4709	2267
675	4716	2260
676	4723	2253
677	4730	2246
678	4737	2239
679	4744	2232
680	4751	2225
681	4758	2218
682	4765	2211
683	4772	2204
684	4779	2198
685	4786	2190
686	4793	2183
687	4800	2176
688	4807	2169
689	4813	2162
690	4820	2155
691	4828	2148
692	4834	2141
693	4841	2134
694	4848	2127
695	4855	2120
696	4861	2113
697	4868	2106
698	4875	2099
699	4882	2092
700	4889	2085
701	4896	2078
702	4902	2071
703	4909	2064
704	4915	2056
705	4922	2050
706	4929	2043
707	4937	2036
708	4944	2029
709	4951	2022
710	4958	2015
711	4965	2008
712	4972	2001
713	4979	1994
714	4986	1987
715	4994	1980
716	5001	1974
717	5009	1967
718	5016	1960
719	5023	1953
720	5030	1946
721	5038	1939
722	5045	1933
723	5052	1926
724	5059	1919
725	5067	1912
726	5074	1905
727	5081	1898
728	5088	1891
729	5094	1884
730	5101	1877
731	5108	1870
732	5115	1863
733	5122	1856
734	5129	1849
735	5136	1842
736	5143	1835
737	5150	1828
738	5157	1821
739	5164	1814
740	5171	1807
741	5178	1800
742	5185	1793
743	5192	1786
744	5199	1779
745	5206	1772
746	5213	1765
747	5219	1758
748	5226	1751
749	5233	1744
750	5240	1737
751	5247	1730
752	5254	1723
753	5261	1716
754	5268	1709
755	5275	1702
756	5282	1695
757	5290	1688
758	5297	1681
759	5303	1674
760	5310	1667
761	5317	1660
762	5324	1653
763	5331	1646
764	5338	1639
765	5345	1633
766	5352	1626
767	5360	1619
768	5366	1612
769	5373	1605
770	5380	1598
771	5387	1591
772	5393	1583
773	5400	1576
774	5407	1569
775	5414	1562
776	5421	1555
777	5428	1549
778	5435	1542
779	5442	1535
780	5449	1528
781	5456	1521
782	5463	1514
783	5470	1507
784	5477	1500
785	5484	1493
786	5491	1486
787	5498	1479
788	5505	1472
789	5511	1465
790	5518	1458
791	5525	1451
792	5532	1444
793	5539	1437
794	5545	1430
795	5552	1423
796	5559	1416
797	5565	1408
798	5572	1401
799	5578	1394
800	5585	1387
801	5592	1380
802	5599	1373
803	5606	1366
804	5613	1359
805	5620	1352
806	5626	1345
807	5633	1338
808	5640	1331
809	5647	1324
810	5654	1317
811	5661	1310
812	5669	1304
813	5677	1297
814	5684	1290
815	5691	1283
816	5698	1276
817	5705	1269
818	5712	1262
819	5719	1255
820	5726	1248
821	5733	1241
822	5739	1234
823	5746	1227
824	5753	1220
825	5760	1213
826	5767	1206
827	5774	1199
828	5781	1192
829	5788	1185
830	5795	1178
831	5802	1171
832	5809	1164
